Region,Key,Value
Capital District,Number of Alums in Region,"166,000.00"
Central New York,Number of Alums in Region,"107,000.00"
Finger Lakes,Number of Alums in Region,"188,000.00"
Hudson Valley,Number of Alums in Region,"181,000.00"
Long Island,Number of Alums in Region,"325,000.00"
Mohawk Valley,Number of Alums in Region,"75,000.00"
NYC,Number of Alums in Region,"150,000.00"
North Country,Number of Alums in Region,"61,000.00"
Southern Tier,Number of Alums in Region,"97,000.00"
Western NY,Number of Alums in Region,"235,000.00"
Capital District,Affiliates as a Percent of Population,21.00
Central New York,Affiliates as a Percent of Population,22.00
Finger Lakes,Affiliates as a Percent of Population,20.00
Hudson Valley,Affiliates as a Percent of Population,11.00
Long Island,Affiliates as a Percent of Population,15.00
Mohawk Valley,Affiliates as a Percent of Population,19.00
NYC,Affiliates as a Percent of Population,2.00
North Country,Affiliates as a Percent of Population,37.00
Southern Tier,Affiliates as a Percent of Population,23.00
Western NY,Affiliates as a Percent of Population,24.00
Capital District,Alums as a Percent of Total Workforce,36.00
Central New York,Alums as a Percent of Total Workforce,27.00
Finger Lakes,Alums as a Percent of Total Workforce,30.00
Hudson Valley,Alums as a Percent of Total Workforce,16.00
Long Island,Alums as a Percent of Total Workforce,22.00
Mohawk Valley,Alums as a Percent of Total Workforce,31.00
NYC,Alums as a Percent of Total Workforce,4.00
North Country,Alums as a Percent of Total Workforce,31.00
Southern Tier,Alums as a Percent of Total Workforce,30.00
Western NY,Alums as a Percent of Total Workforce,33.00
Capital District,Alums as a Percent of Total Graduates,36.00
Central New York,Alums as a Percent of Total Graduates,47.00
Finger Lakes,Alums as a Percent of Total Graduates,43.00
Hudson Valley,Alums as a Percent of Total Graduates,32.00
Long Island,Alums as a Percent of Total Graduates,45.00
Mohawk Valley,Alums as a Percent of Total Graduates,73.00
NYC,Alums as a Percent of Total Graduates,40.00
North Country,Alums as a Percent of Total Graduates,73.00
Southern Tier,Alums as a Percent of Total Graduates,58.00
Western NY,Alums as a Percent of Total Graduates,64.00
Capital District,Number of Alums from Regional Schools,"103,000.00"
Central New York,Number of Alums from Regional Schools,"57,000.00"
Finger Lakes,Number of Alums from Regional Schools,"115,000.00"
Hudson Valley,Number of Alums from Regional Schools,"95,000.00"
Long Island,Number of Alums from Regional Schools,"229,000.00"
Mohawk Valley,Number of Alums from Regional Schools,"44,000.00"
NYC,Number of Alums from Regional Schools,"28,000.00"
North Country,Number of Alums from Regional Schools,"45,000.00"
Southern Tier,Number of Alums from Regional Schools,"53,000.00"
Western NY,Number of Alums from Regional Schools,"204,000.00"
Capital District,Regional School Alums as a Percent of Total Alums,62.05
Central New York,Regional School Alums as a Percent of Total Alums,53.27
Finger Lakes,Regional School Alums as a Percent of Total Alums,61.17
Hudson Valley,Regional School Alums as a Percent of Total Alums,52.49
Long Island,Regional School Alums as a Percent of Total Alums,70.46
Mohawk Valley,Regional School Alums as a Percent of Total Alums,58.67
NYC,Regional School Alums as a Percent of Total Alums,18.67
