Region,Key,Value
Capital District, Regional in-state students,68
Central New York, Regional in-state students,63
Finger Lakes, Regional in-state students,80
Hudson Valley, Regional in-state students,82
Long Island, Regional in-state students,78
Mohawk Valley, Regional in-state students,55
NYC, Regional in-state students,49
North Country, Regional in-state students,59
Southern Tier, Regional in-state students,39
Western NY, Regional in-state students,66
Capital District, Non-regional in-state students,26
Central New York, Non-regional in-state students,31
Finger Lakes, Non-regional in-state students,18
Hudson Valley, Non-regional in-state students,13
Long Island, Non-regional in-state students,14
Mohawk Valley, Non-regional in-state students,41
NYC, Non-regional in-state students,18
North Country, Non-regional in-state students,32
Southern Tier, Non-regional in-state students,35
Western NY, Non-regional in-state students,23
Capital District, Out-of-state students,2
Central New York, Out-of-state students,3
Finger Lakes, Out-of-state students,1
Hudson Valley, Out-of-state students,3
Long Island, Out-of-state students,2
Mohawk Valley, Out-of-state students,2
NYC, Out-of-state students,22
North Country, Out-of-state students,3
Southern Tier, Out-of-state students,11
Western NY, Out-of-state students,3
Capital District, International Students,4
Central New York, International Students,4
Finger Lakes, International Students,1
Hudson Valley, International Students,3
Long Island, International Students,7
Mohawk Valley, International Students,3
NYC, International Students,11
North Country, International Students,5
Southern Tier, International Students,15
Western NY, International Students,8
