County,Region
Albany,Capital District
Columbia,Capital District
Greene,Capital District
Rensselaer,Capital District
Saratoga,Capital District
Schenectady,Capital District
Warren,Capital District
Washington,Capital District
Cayuga,Central New York
Cortland,Central New York
Madison,Central New York
Onondaga,Central New York
Oswego,Central New York
Genesee,Finger Lakes
Livingston,Finger Lakes
Monroe,Finger Lakes
Ontario,Finger Lakes
Orleans,Finger Lakes
Seneca,Finger Lakes
Wayne,Finger Lakes
Wyoming,Finger Lakes
Yates,Finger Lakes
Dutchess,Hudson Valley
Orange,Hudson Valley
Putnam,Hudson Valley
Sullivan,Hudson Valley
Ulster,Hudson Valley
Westchester,Hudson Valley
Rockland,Hudson Valley
Nassau,Long Island
Suffolk,Long Island
Otsego,Mohawk Valley
Fulton,Mohawk Valley
Montgomery,Mohawk Valley
Oneida,Mohawk Valley
Schoharie,Mohawk Valley
Herkimer,Mohawk Valley
Bronx,New York City
Kings,New York City
New York,New York City
Queens,New York City
Richmond,New York City
Clinton,North Country
Essex,North Country
Franklin,North Country
Hamilton,North Country
Jefferson,North Country
Lewis,North Country
St. Lawrence,North Country
Broome,Southern Tier
Chemung,Southern Tier
Chenango,Southern Tier
Delaware,Southern Tier
Schuyler,Southern Tier
Steuben,Southern Tier
Tioga,Southern Tier
Tompkins,Southern Tier
Allegany,Western New York
Cattaraugus,Western New York
Chautauqua,Western New York
Erie,Western New York
Niagara,Western New York
