Region,Key,Value
Capital District,Regional School Alums,22.34
Central New York,Regional School Alums,14.38
Finger Lakes,Regional School Alums,18.35
Hudson Valley,Regional School Alums,8.4
Long Island,Regional School Alums,15.5
Mohawk Valley,Regional School Alums,18.19
NYC,Regional School Alums,0.75
North Country,Regional School Alums,22.87
Southern Tier,Regional School Alums,16.39
Western NY,Regional School Alums,28.65
Capital District,Non-Regional Alums,13.66
Central New York,Non-Regional Alums,12.62
Finger Lakes,Non-Regional Alums,11.65
Hudson Valley,Non-Regional Alums,7.6
Long Island,Non-Regional Alums,6.5
Mohawk Valley,Non-Regional Alums,12.81
NYC,Non-Regional Alums,3.25
North Country,Non-Regional Alums,8.13
Southern Tier,Non-Regional Alums,13.61
Western NY,Non-Regional Alums,4.35
