Level,School,Region,Regional_Wages,Program,Residents,Wages,Sample Cohort,,
Doctoral,Albany,Capital,"34,233",Agriculture,0,0,0,,
Doctoral,Albany,Capital,"34,233",Art,64.2,"42,428",52,,
Doctoral,Albany,Capital,"34,233",Technical trades,0,0,0,,
Doctoral,Albany,Capital,"34,233",Communications and Media,0,0,0,,
Doctoral,Albany,Capital,"34,233",Law and Public Service,0,0,0,,
Doctoral,Albany,Capital,"34,233",Engineering,27.3,"105,584",26,,
Doctoral,Albany,Capital,"34,233",Social Services,56.2,"70,524",211,,"34,233"
Doctoral,Albany,Capital,"34,233",Hospitality,0,0,0,,"34,233"
Doctoral,Albany,Capital,"34,233",Education,71.7,"64,602",594,,"34,233"
Doctoral,Albany,Capital,"34,233",Computers and Math,56.25,"88,179",93,,"34,233"
Doctoral,Albany,Capital,"34,233",Business and Finance,64.2,"99,818",498,,"34,233"
Doctoral,Albany,Capital,"34,233",Health,52,"76,795",46,,
Comprehensive,Empire State,Capital,"34,233",Agriculture,0,0,0,,
Comprehensive,Empire State,Capital,"34,233",Art,50,"48,755",47,,
Comprehensive,Empire State,Capital,"34,233",Technical trades,0,0,0,,
Comprehensive,Empire State,Capital,"34,233",Communications and Media,0,0,0,,
Comprehensive,Empire State,Capital,"34,233",Law and Public Service,0,0,0,,
Comprehensive,Empire State,Capital,"34,233",Engineering,0,0,0,,
Comprehensive,Empire State,Capital,"34,233",Social Services,60.2,"52,844",302,,
Comprehensive,Empire State,Capital,"34,233",Hospitality,0,0,0,,
Comprehensive,Empire State,Capital,"34,233",Education,59,"50,331",36,,
Comprehensive,Empire State,Capital,"34,233",Computers and Math,0,0,0,,
Comprehensive,Empire State,Capital,"34,233",Business and Finance,69.2,"91,781",1053,,
Comprehensive,Empire State,Capital,"34,233",Health,0,0,0,,
Community,Adirondack ,Capital,"34,233",Agriculture,0,0,0,,
Community,Adirondack ,Capital,"34,233",Art,69.2,"28,954",14,,
Community,Adirondack ,Capital,"34,233",Technical trades,0,0,0,,
Community,Adirondack ,Capital,"34,233",Communications and Media,0,0,0,,
Community,Adirondack ,Capital,"34,233",Law and Public Service,0,0,0,,
Community,Adirondack ,Capital,"34,233",Engineering,0,0,0,,
Community,Adirondack ,Capital,"34,233",Social Services,0,0,0,,
Community,Adirondack ,Capital,"34,233",Hospitality,0,0,0,,
Community,Adirondack ,Capital,"34,233",Education,0,0,0,,
Community,Adirondack ,Capital,"34,233",Computers and Math,71.4,"48,007",12,,
Community,Adirondack ,Capital,"34,233",Business and Finance,67.4,"38,207",52,,
Community,Adirondack ,Capital,"34,233",Health,76.7,"61,253",79,,
Community,Schenectedy County,Capital,"34,233",Agriculture,0,0,0,,
Community,Schenectedy County,Capital,"34,233",Art,0,0,0,,
Community,Schenectedy County,Capital,"34,233",Technical trades,0,0,0,,
Community,Schenectedy County,Capital,"34,233",Communications and Media,0,0,0,,
Community,Schenectedy County,Capital,"34,233",Law and Public Service,70.2,"45,543",32,,
Community,Schenectedy County,Capital,"34,233",Engineering,0,0,0,,
Community,Schenectedy County,Capital,"34,233",Social Services,0,0,0,,
Community,Schenectedy County,Capital,"34,233",Hospitality,0,0,0,,
Community,Schenectedy County,Capital,"34,233",Education,0,0,0,,
Community,Schenectedy County,Capital,"34,233",Computers and Math,69,"64,588",18,,
Community,Schenectedy County,Capital,"34,233",Business and Finance,75.7,"43,211",89,,
Community,Schenectedy County,Capital,"34,233",Health,0,0,0,,
Community,Columbia-Greene,Capital,"34,233",Agriculture,0,0,0,,
Community,Columbia-Greene,Capital,"34,233",Art,0,0,0,,
Community,Columbia-Greene,Capital,"34,233",Technical trades,68.4,"59,819",12,,
Community,Columbia-Greene,Capital,"34,233",Communications and Media,0,0,0,,
Community,Columbia-Greene,Capital,"34,233",Law and Public Service,0,0,0,,
Community,Columbia-Greene,Capital,"34,233",Engineering,0,0,0,,
Community,Columbia-Greene,Capital,"34,233",Social Services,0,0,0,,
Community,Columbia-Greene,Capital,"34,233",Hospitality,0,0,0,,
Community,Columbia-Greene,Capital,"34,233",Education,0,0,0,,
Community,Columbia-Greene,Capital,"34,233",Computers and Math,0,0,0,,
Community,Columbia-Greene,Capital,"34,233",Business and Finance,81.6,"44,827",27,,
Community,Columbia-Greene,Capital,"34,233",Health,63.5,"70,784",48,,
Doctoral,UB,Western New York,"28,395",Agriculture,0,0,0,,
