Region,Key,Value
Capital District, Regional in-state students,68
Capital District, Non-regional in-state students,26
Capital District, Out-of-state students,2
Capital District, International Students,4
Central New York, Regional in-state students,63
Central New York, Non-regional in-state students,31
Central New York, Out-of-state students,3
Central New York, International Students,3
Finger Lakes, Regional in-state students,80
Finger Lakes, Non-regional in-state students,18
Finger Lakes, Out-of-state students,1
Finger Lakes, International Students,1
Hudson Valley, Regional in-state students,82
Hudson Valley, Non-regional in-state students,13
Hudson Valley, Out-of-state students,3
Hudson Valley, International Students,2
Long Island, Regional in-state students,78
Long Island, Non-regional in-state students,14
Long Island, Out-of-state students,2
Long Island, International Students,6
Mohawk Valley, Regional in-state students,55
Mohawk Valley, Non-regional in-state students,40
Mohawk Valley, Out-of-state students,2
Mohawk Valley, International Students,3
North Country, Regional in-state students,59
North Country, Non-regional in-state students,31
North Country, Out-of-state students,4
North Country, International Students,6
NYC, Regional in-state students,49
NYC, Non-regional in-state students,18
NYC, Out-of-state students,22
NYC, International Students,11
Southern Tier, Regional in-state students,39
Southern Tier, Non-regional in-state students,35
Southern Tier, Out-of-state students,11
Southern Tier, International Students,15
Western NY, Regional in-state students,66
Western NY, Non-regional in-state students,23
Western NY, Out-of-state students,3
Western NY, International Students,8
